date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,optionid,forward_price,index_flag,issuer,exercise_style
19961024,19961116,19961024,C,705000,8.25,8.75,198,7886,0.13722,0.480461,0.017215,11553840,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,655000,4.875,5.25,11,1836,0.203519,-0.164349,0.004417,11573888,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19970118,19961024,P,700000,17.75,18.5,267,1257,0.162415,-0.428443,0.007141,11497916,707.416065,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,P,705000,17,17.75,3685,7451,0.161962,-0.479739,0.008911,11521079,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,C,750000,1.375,1.625,65,5076,0.118878,0.098908,0.005319,11420279,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,C,735000,4,4.375,201,2924,0.127754,0.214179,0.008283,11484024,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,C,690000,17.375,18.125,315,4581,0.143435,0.718472,0.013925,11437963,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19961116,19961024,P,670000,2.75,3.125,727,3634,0.207386,-0.156911,0.006873,11616017,703.521896,1,CBOE S&P 500 INDEX,E
19961024,19970322,19961024,P,675000,15.25,16,62,15087,0.175733,-0.296358,0.004391,11489090,711.382057,1,CBOE S&P 500 INDEX,E
19961024,19961221,19961024,C,740000,2.75,3.125,250,2376,0.122813,0.166918,0.007393,11722078,705.652765,1,CBOE S&P 500 INDEX,E
19961024,19970621,19961024,P,625000,10.625,11.375,154,17231,0.197351,-0.169886,0.002247,11659072,717.289757,1,CBOE S&P 500 INDEX,E
19961024,19970322,19961024,C,775000,3.875,4.25,499,499,0.124536,0.14674,0.004126,11602151,711.382057,1,CBOE S&P 500 INDEX,E
