IV_D_h1,IV_D_h2,IV_D_h3,IV_D_h6,IV_D_h9,IV_D_h12,date
0.000957910915463782,0.00197471158493439,0.00309358417959193,0.00701383213898156,0.0110982881032117,0.0151029372927991,04-May-2005
0.000957262793541285,0.00197515077516214,0.00305208216532956,0.00668275277342666,0.0105615471800068,0.0144705289743341,05-May-2005
0.000943468478247811,0.00192550608027711,0.00301304172648188,0.00661198503311425,0.0104759746794717,0.0144281496312266,06-May-2005
0.000883157162510523,0.00182639246188542,0.00287606831767775,0.00617604511855378,0.00936792589321997,0.0124442140411303,09-May-2005
0.00106754181208996,0.00221623692875065,0.00335807544650764,0.00698794584225731,0.0104240259297546,0.0136163568209021,10-May-2005
0.00101638454850304,0.00217737363332809,0.00331285246717036,0.00707047673217845,0.011002108610596,0.0148818069185868,11-May-2005
0.00133901601666544,0.00267099952112324,0.00408215317891207,0.00841635602163662,0.0125326814350714,0.0164823738101939,12-May-2005
0.00136458127212833,0.00276712760815479,0.00428786756917306,0.0089147987463665,0.0140405833171798,0.0194570382644926,13-May-2005
0.00115592747086909,0.00248895094480189,0.00388144903939071,0.00828563853268812,0.0126060779219779,0.0168185908167369,16-May-2005
0.00116611892624256,0.00231491567732264,0.00361753726844845,0.00797914696181169,0.0121758638225943,0.016174009240694,17-May-2005
0.000958640121258783,0.00189630410566209,0.00305814020865536,0.00702076370744468,0.0110938993145832,0.0151095696306821,18-May-2005
0.000946209333899602,0.00183716009546781,0.00296232654845846,0.00673388245536238,0.0105961430679057,0.0144168544018409,19-May-2005
0.000904378209406107,0.00181437204814223,0.00295657786945174,0.0066759733904175,0.0103531127143887,0.013956831346366,20-May-2005
0.000882281316137891,0.00177580009269615,0.00274413081948228,0.00627540626635598,0.00985390708047207,0.0134423567967661,23-May-2005
0.000777603554739218,0.0017718580996021,0.0027235043907253,0.0060786336667112,0.00969041550065767,0.0133087784440627,24-May-2005
0.000779604374447474,0.00175510411842581,0.00280829494456231,0.00615596029973901,0.00972781151848311,0.0132895367871894,25-May-2005
0.000739579287024296,0.0016822548282749,0.00262451165729427,0.00599671678759582,0.00966620135725931,0.0133687214641145,26-May-2005
0.000726496631932036,0.00160187233245695,0.00254314359329061,0.00566915113301991,0.00862078221114758,0.0114953395297444,27-May-2005
0.000854546683265351,0.0018671206640678,0.00285685973819685,0.00643715736509973,0.0100272135906858,0.013593290725564,31-May-2005
0.000722767899091621,0.00167505103876253,0.00271842755451044,0.00622979589331181,0.00998001367936654,0.0137573241864214,01-Jun-2005
