KYTREASNOX,MCALDT,TMBIDYTM,TMASKYTM,TMYTM
2000002,2007-09-28,3.7841974173766E+00,3.7739636099231E+00,3.7790804813698E+00
2000002,2007-10-31,3.8972037677156E+00,3.8869649249679E+00,3.8920843133119E+00
2000002,2007-11-30,3.1399713615871E+00,3.1297537974538E+00,3.1348625473428E+00
2000002,2007-12-31,3.2315106937095E+00,3.2212935328537E+00,3.2264020821790E+00
2000002,2008-01-31,1.9361237048220E+00,1.9259358861032E+00,1.9310297631166E+00
2000002,2008-02-29,1.8342110025122E+00,1.8240262823822E+00,1.8291186104760E+00
2000002,2008-03-31,1.3150449575126E+00,1.3048743617911E+00,1.3099596288321E+00
2000002,2008-04-30,1.3863778156055E+00,1.3762035655447E+00,1.3812906579606E+00
2000002,2008-05-30,1.8851384400500E+00,1.8749524409145E+00,1.8800454085031E+00
2000002,2008-06-30,1.7322518110581E+00,1.7220710963994E+00,1.7271614228476E+00
2000002,2008-07-31,1.6713244815101E+00,1.6611433863251E+00,1.6662339016142E+00
2000002,2008-08-29,1.7222338341984E+00,1.7120514467153E+00,1.7171426081453E+00
2000002,2008-09-30,6.7477846907372E-01,6.6462338282178E-01,6.6970089522195E-01
2000002,2008-10-31,4.4128165708176E-01,4.3113185715739E-01,4.3620672536738E-01
2000002,2008-11-28,3.5487663719052E-02,2.5348014355897E-02,3.0417807348720E-02
2000002,2008-12-31,1.1661435889384E-01,1.0647261904862E-01,1.1154345656493E-01
2000002,2009-01-30,2.4594261444567E-01,2.3579770201444E-01,2.4087012650840E-01
2000002,2009-02-27,2.5862411186402E-01,2.4847888220604E-01,2.5355146531132E-01
2000002,2009-03-31,2.0790227787319E-01,1.9775814784988E-01,2.0283018008753E-01
2000002,2009-04-30,1.3182721668615E-01,1.2168512317681E-01,1.2675613787512E-01
2000002,2009-05-29,1.3689810285449E-01,1.2675591775494E-01,1.3182697860017E-01
2000002,2009-06-30,1.9268618115857E-01,1.7747067434585E-01,1.8507835401729E-01
2000002,2009-07-31,1.8254107482295E-01,1.7239774822813E-01,1.7746937981371E-01
2000002,2009-08-31,1.4196873825879E-01,1.3182650243160E-01,1.3689758934480E-01
2000002,2009-09-30,1.1661435889384E-01,1.0647261904862E-01,1.1154345656493E-01
2000002,2009-10-30,5.0697613111309E-02,4.0557583468585E-02,4.5627566598743E-02
2000002,2009-11-30,5.5767595192385E-02,4.5627481039262E-02,5.0697507480503E-02
2000002,2009-12-31,6.0837946994339E-02,5.0697648321654E-02,5.5767765613010E-02
2000002,2010-01-29,8.1119223303848E-02,7.0978433016258E-02,7.6048796464178E-02
2000002,2010-02-26,1.2168492031746E-01,1.1154311565921E-01,1.1661398628615E-01
2000002,2010-03-31,1.5718391098024E-01,1.4704113402631E-01,1.5211249009029E-01
2000002,2010-04-30,1.6225467532118E-01,1.5211185608923E-01,1.5718323399662E-01
2000002,2010-05-28,1.6225467532118E-01,1.5211185608923E-01,1.5718323399662E-01
2000002,2010-06-30,1.7747024283236E-01,1.6732694724447E-01,1.7239856262214E-01
2000002,2010-07-30,1.4704054159751E-01,1.3689810285449E-01,1.4196929051977E-01
2000002,2010-08-31,1.2168431174477E-01,1.1154260430591E-01,1.1661342738045E-01
2000002,2010-09-30,1.6225503600837E-01,1.5211217308883E-01,1.5718357248742E-01
2000002,2010-10-29,1.2168492031746E-01,1.1154311565921E-01,1.1661398628615E-01
2000002,2010-11-30,1.7239896982304E-01,1.6225575738922E-01,1.6732733083799E-01
2000002,2010-12-31,1.2675591775494E-01,1.1661398628615E-01,1.2168492031746E-01
2000002,2011-01-31,1.4703965296631E-01,1.3689733259187E-01,1.4196846213048E-01
2000002,2011-02-28,1.4196846213048E-01,1.3182626434907E-01,1.3689733259187E-01
2000002,2011-03-31,1.0140170547772E-01,8.6189815306963E-02,9.3795688277553E-02
2000002,2011-04-29,4.5627566598743E-02,3.5487663719052E-02,4.0557583468585E-02
2000002,2011-05-31,6.0838048403904E-02,4.0557651070318E-02,5.0697718742642E-02
2000002,2011-06-30,2.0278290372258E-02,1.0139017035271E-02,1.5208621665276E-02
2000002,2011-07-29,1.0140156461269E-01,8.6189713536961E-02,9.3795567752707E-02
2000002,2011-08-31,1.5208624833837E-02,5.0694768328413E-03,1.0139018443550E-02
2000002,2011-09-30,2.5348014355897E-02,1.5208618496724E-02,2.0278284739160E-02
2000002,2011-10-31,7.6042355802828E-03,-2.5347145652811E-03,2.5347298792362E-03
2000002,2011-11-30,5.0694768328413E-03,-5.0694120565961E-03,0.0000000000000E+00
2000002,2011-12-30,1.5208618496724E-02,5.0694761287030E-03,1.0139015627076E-02
2000002,2012-01-31,6.0838048403904E-02,5.0697718742642E-02,5.5767850823821E-02
2000002,2012-02-29,8.1119403599413E-02,7.0978571050377E-02,7.6048954924438E-02
2000002,2012-03-30,7.6048796464178E-02,6.5908132958578E-02,7.0978433016258E-02
2000002,2012-04-30,9.6330502806557E-02,8.6189408229128E-02,9.1259924876627E-02
2000002,2012-05-31,7.0978502033276E-02,6.0837946994339E-02,6.5908192467120E-02
2000002,2012-06-29,8.6189713536961E-02,8.1119223303848E-02,8.3654460496107E-02
2000002,2012-07-31,1.0140198720963E-01,9.6331265577025E-02,9.8866618204116E-02
2000002,2012-08-31,9.1260267165117E-02,8.1119223303848E-02,8.6189713536961E-02
2000002,2012-09-28,9.6330884189827E-02,8.6189713536961E-02,9.1260267165117E-02
2000002,2012-10-31,1.1661435889384E-01,1.0647261904862E-01,1.1154345656493E-01
2000002,2012-11-30,8.1119223303848E-02,7.0978433016258E-02,7.6048796464178E-02
2000002,2012-12-31,5.0697507480596E-02,4.0557515867060E-02,4.5627481039262E-02
2000002,2013-01-31,8.1119313451452E-02,6.5908192467209E-02,7.3513680851682E-02
2000002,2013-02-28,1.1154328611177E-01,1.0140170547772E-01,1.0647246374166E-01
2000002,2013-03-28,8.1119313451452E-02,7.0978502033276E-02,7.6048875694109E-02
2000002,2013-04-30,5.5767850823734E-02,5.0697718742642E-02,5.3232776595962E-02
2000002,2013-05-31,4.0557583468585E-02,3.0417807348630E-02,3.5487663718962E-02
2000002,2013-06-28,4.0557583468585E-02,3.0417807348630E-02,3.5487663718962E-02
2000002,2013-07-31,4.0557628536320E-02,3.0417832698473E-02,3.5487698223465E-02
2000002,2013-08-30,2.5348023157786E-02,2.0278290372258E-02,2.2813148755017E-02
2000002,2013-09-30,2.0278267839843E-02,1.0139011402378E-02,1.5208608991027E-02
2000002,2013-10-31,4.0557606002408E-02,3.0417820023608E-02,3.5487680971203E-02
2000002,2013-11-29,6.5908132958578E-02,5.5767723007705E-02,6.0837896289624E-02
2000002,2013-12-31,7.0978640067720E-02,6.5908311484648E-02,6.8443467588267E-02
2000002,2014-01-31,2.0278284739070E-02,1.0139015627076E-02,1.5208618496634E-02
2000002,2014-02-28,5.5767723007705E-02,4.5627566598743E-02,5.0697613111309E-02
2000002,2014-03-31,3.5487611962573E-02,2.5347987950334E-02,3.0417769324106E-02
2000002,2014-04-30,4.0557628536320E-02,2.0278296005324E-02,3.0417832698473E-02
2000002,2014-05-30,3.5487663719052E-02,2.5348014355897E-02,3.0417807348720E-02
2000002,2014-06-30,2.5347987950334E-02,2.0278267839843E-02,2.2813120237331E-02
2000002,2014-07-31,2.5348023157786E-02,2.0278290372258E-02,2.2813148755017E-02
2000002,2014-08-29,3.0417820023608E-02,2.0278290372258E-02,2.5348023157786E-02
2000002,2014-09-30,1.5208608991027E-02,5.0694750725698E-03,1.0139011402471E-02
2000002,2014-10-31,1.5208618496724E-02,5.0694761287030E-03,1.0139015627076E-02
2000002,2014-11-28,1.5208618496724E-02,5.0694761287030E-03,1.0139015627076E-02
2000002,2014-12-31,4.5627623638658E-02,3.5487698223465E-02,4.0557628536320E-02
2000002,2015-01-30,1.0139015627076E-02,0.0000000000000E+00,5.0694761287030E-03
2000002,2015-02-27,1.5208618496724E-02,5.0694761287030E-03,1.0139015627076E-02
2000002,2015-03-31,3.0417845373401E-02,2.5348040761524E-02,2.7882934881215E-02
2000002,2015-04-30,1.0139017035271E-02,0.0000000000000E+00,5.0694764807615E-03
2000002,2015-05-29,1.0139015627076E-02,0.0000000000000E+00,5.0694761287030E-03
2000002,2015-06-30,2.5348040761524E-02,2.0278301638445E-02,2.2813163013967E-02
2000002,2015-07-31,6.5908132958578E-02,6.0837896289624E-02,6.3373006700650E-02
2000002,2015-08-31,7.6042363723719E-03,-2.5347144772820E-03,2.5347299672537E-03
2000002,2015-09-30,1.0139018443550E-02,-5.0691205908567E-02,-2.0277259585536E-02
2000002,2015-10-30,8.1119223303848E-02,7.0978433016258E-02,7.6048796464178E-02
2000002,2015-11-30,1.7239652665624E-01,1.5718221853567E-01,1.6478930362911E-01
2000002,2015-12-31,2.0282905277618E-01,1.5211217308883E-01,1.7746981132161E-01
2000002,2016-01-29,3.1950081996609E-01,3.0935406734334E-01,3.1442741192148E-01
2000002,2016-02-29,3.2456996101125E-01,3.1442334801267E-01,3.1949662383736E-01
2000002,2016-03-31,2.0282905277618E-01,1.9775707621777E-01,2.0029305647996E-01
2000002,2016-04-29,2.2311691833407E-01,2.0282848912674E-01,2.1297257686118E-01
2000002,2016-05-31,3.3979983321410E-01,3.2965229354703E-01,3.3472603058457E-01
2000002,2016-06-30,2.6877058509040E-01,2.5862502831558E-01,2.6369777462478E-01
2000002,2016-07-29,2.6369682186557E-01,2.4340636254651E-01,2.5355146531132E-01
2000002,2016-08-31,3.3472449534220E-01,3.2965080450040E-01,3.3218764181069E-01
2000002,2016-09-30,2.8398829639283E-01,2.7384243222185E-01,2.7891533257969E-01
2000002,2016-10-31,3.0935013353566E-01,2.9920388861872E-01,3.0427698040484E-01
2000002,2016-11-30,4.8696539987793E-01,4.8188976174497E-01,4.8442757269463E-01
2000002,2016-12-30,5.0218579158576E-01,4.9203446732415E-01,4.9711009769315E-01
2000002,2017-01-31,5.2250042653623E-01,5.1234816203827E-01,5.1742426146060E-01
2000002,2017-02-28,6.1896003934031E-01,6.0880527940730E-01,6.1388262653110E-01
2000002,2017-03-31,7.5605151395436E-01,7.5097264185352E-01,7.5351206995341E-01
2000002,2017-04-28,8.0176422526750E-01,7.8652608231521E-01,7.9414508222262E-01
2000002,2017-05-31,9.7452924526969E-01,9.6944736574839E-01,9.7198829737220E-01
2000002,2017-06-30,1.0202405478992E+00,1.0100762482608E+00,1.0151583662369E+00
2000002,2017-07-31,1.0811836124276E+00,1.0710186843809E+00,1.0761011176188E+00
2000002,2017-08-31,9.9484384513169E-01,9.8976184355540E-01,9.9230283629478E-01
2000002,2017-09-29,1.0558176028800E+00,1.0456524115579E+00,1.0507349753703E+00
2000002,2017-10-31,1.1473699424604E+00,1.1422856890687E+00,1.1448278075316E+00
2000002,2017-11-30,1.2642821123623E+00,1.2541113437638E+00,1.2591966958252E+00
2000002,2017-12-29,1.3863250981636E+00,1.3761516194466E+00,1.3812383269045E+00
2000002,2018-01-31,1.4626930088786E+00,1.4525168015756E+00,1.4576048726001E+00
2000002,2018-02-28,1.5482802851229E+00,1.5381139244682E+00,1.5431970821424E+00
